set_no,name,price_store,price_new,price_used,rating_value,rating_votes,theme_group,theme,subtheme,main_tag,year,volume,weight,piece_cnt,minifig_cnt
7140-1,X-wing Fighter,30.0,132.0,46.0,4.6,27.0,Licensed,Star Wars,Episode IV,,1999.0,,,266.0,4.0
7141-1,Naboo Fighter,20.0,51.0,17.0,4.3,12.0,Licensed,Star Wars,Episode I,,1999.0,,,179.0,4.0
7150-1,TIE Fighter & Y-wing,50.0,150.0,61.0,4.2,13.0,Licensed,Star Wars,Episode IV,,1999.0,,,409.0,3.0
7151-1,Sith Infiltrator,30.0,59.0,26.0,4.4,11.0,Licensed,Star Wars,Episode I,,1999.0,,,244.0,1.0
7161-1,Gungan Sub,50.0,132.0,45.0,3.9,12.0,Licensed,Star Wars,Episode I,,1999.0,,,379.0,3.0
7171-1,Mos Espa Podrace,90.0,130.0,76.0,4.5,13.0,Licensed,Star Wars,Episode I,,1999.0,,,896.0,10.0
8246-1,Hydro Racer,4.0,15.0,2.0,2.5,4.0,Technical,Technic,,,1999.0,,,46.0,0.0
8247-1,Road Rebel,6.0,9.0,4.0,2.0,1.0,Technical,Technic,,,1999.0,,,44.0,0.0
8251-1,Sonic Cycle,8.0,16.0,7.0,5.0,1.0,Technical,Technic,,,1999.0,,,89.0,0.0
8252-1,Beach Buster,20.0,28.0,9.0,4.3,3.0,Technical,Technic,,,1999.0,,,183.0,1.0
8253-1,Fire Helicopter,16.5,26.0,21.0,3.0,1.0,Technical,Technic,,,1999.0,,,210.0,1.0
8255-1,Rescue Bike,15.0,66.0,30.0,,,Technical,Technic,,,1999.0,,,202.0,2.0
8268-1,Scorpion Attack,15.0,49.0,9.0,5.0,2.0,Technical,Technic,Competition,,1999.0,,,85.0,1.0
8269-1,Cyber Stinger,40.0,36.0,25.0,,,Technical,Technic,Competition,,1999.0,,,345.0,1.0
8444-1,Air Enforcer,30.0,55.0,28.0,4.0,1.0,Technical,Technic,,,1999.0,,,309.0,0.0
8445-1,Indy Storm,40.0,107.0,88.0,5.0,2.0,Technical,Technic,,,1999.0,,,446.0,0.0
8446-1,Crane Truck,60.0,109.0,47.0,4.5,6.0,Technical,Technic,,,1999.0,,,582.0,0.0
8448-1,Super Street Sensation,130.0,388.0,149.0,4.7,20.0,Technical,Technic,,,1999.0,,,1437.0,0.0
8450-1,The Mission,,124.0,92.0,,,Technical,Technic,Competition,,1999.0,,,643.0,0.0
8500-1,Torch,6.0,15.0,5.0,4.7,6.0,Technical,Technic,Slizer,,1999.0,,,33.0,0.0
8501-1,Ski,6.0,17.0,5.0,4.3,8.0,Technical,Technic,Slizer,,1999.0,,,34.0,0.0
8502-1,Turbo,6.0,11.0,6.0,4.2,10.0,Technical,Technic,Slizer,,1999.0,,,45.0,0.0
8503-1,Scuba,6.0,11.0,5.0,4.3,7.0,Technical,Technic,Slizer,,1999.0,,,39.0,0.0
8504-1,Jet,6.0,17.0,4.0,4.7,9.0,Technical,Technic,Slizer,,1999.0,,,44.0,0.0
8505-1,Amazon,6.0,13.0,5.0,4.6,8.0,Technical,Technic,Slizer,,1999.0,,,36.0,0.0
8506-1,Granite,6.0,20.0,6.0,4.6,7.0,Technical,Technic,Slizer,,1999.0,,,34.0,0.0
8507-1,Electro,6.0,11.0,6.0,4.4,10.0,Technical,Technic,Slizer,,1999.0,,,37.0,0.0
8508-1,Supplementary Discs,2.0,8.0,3.0,4.7,3.0,Technical,Technic,Slizer,,1999.0,,,5.0,0.0
8520-1,Millennium Slizer,20.0,64.0,26.0,4.6,8.0,Technical,Technic,Slizer,,1999.0,,,135.0,0.0
9709-1,RCX Programmable LEGO Brick,110.0,15.0,12.0,5.0,1.0,Technical,Mindstorms,1.0,,1999.0,,,1.0,0.0
9735-1,Robotics Discovery Set,150.0,,25.0,5.0,1.0,Technical,Mindstorms,1.0,,1999.0,,,390.0,0.0
9738-1,RCX Remote Control Unit,19.75,6.0,2.0,4.0,1.0,Technical,Mindstorms,1.0,,1999.0,,,1.0,0.0
9747-1,Robotics Invention System,200.0,102.0,85.0,,,Technical,Mindstorms,1.5,,1999.0,,,726.0,0.0
9748-1,Droid Developer Kit,100.0,120.0,51.0,5.0,2.0,Technical,Mindstorms,Star Wars,,1999.0,,,657.0,0.0
9755-1,Temperature Sensor,24.0,6.0,13.0,,,Technical,Mindstorms,1.0,,1999.0,,,1.0,0.0
9756-1,Rotation Sensor,15.0,10.0,10.0,,,Technical,Mindstorms,1.0,,1999.0,,,1.0,0.0
9757-1,Touch Sensor,11.0,10.0,7.0,,,Technical,Mindstorms,1.0,,1999.0,,,2.0,0.0
9758-1,Light Sensor,19.75,3.0,2.0,5.0,1.0,Technical,Mindstorms,1.0,,1999.0,,,1.0,0.0
1177-1,Santa's Truck,,32.0,,5.0,1.0,Modern day,Town,Special,,2000.0,,,27.0,1.0
1196-1,Telekom Race Cyclist,,21.0,15.0,3.7,3.0,Modern day,Town,Telekom,,2000.0,,,7.0,1.0
1197-1,Telekom Race Cyclist and Television Motorbike,,26.0,7.0,2.0,1.0,Modern day,Town,Telekom,,2000.0,,,26.0,3.0
1198-1,Telekom Race Cyclists and Service Crew,,46.0,37.0,4.0,2.0,Modern day,Town,Telekom,,2000.0,,,81.0,3.0
1199-1,Telekom Race Cyclists and Winners' Podium,,110.0,57.0,3.0,1.0,Modern day,Town,Telekom,,2000.0,,,129.0,8.0
1272-1,Blue Racer,3.95,,3.0,,,Modern day,Town,Race,,2000.0,,,23.0,1.0
1273-1,Red Four Wheel Driver,,5.0,,,,Modern day,Town,Race,,2000.0,,,20.0,1.0
1278-1,Jones and Baby Tyranno,,7.0,7.0,3.0,3.0,Historical,Adventurers,Dino Island,,2000.0,,,23.0,1.0
1279-1,Cunningham's Dinofinder,,18.0,,4.0,1.0,Historical,Adventurers,Dino Island,,2000.0,,,21.0,1.0
1280-1,Dr. Kilroy's Microcopter,,9.0,5.0,3.3,4.0,Historical,Adventurers,Dino Island,,2000.0,,,28.0,1.0
1281-1,Mike's Dinohunter,,14.0,6.0,3.0,2.0,Historical,Adventurers,Dino Island,,2000.0,,,24.0,1.0
1282-1,Blue Racer,,9.0,16.0,,,Modern day,Town,Race,,2000.0,,,23.0,1.0
1283-1,Red Four Wheel Driver,,16.0,0.0,,,Modern day,Town,Race,,2000.0,,,20.0,1.0
1284-1,Green Buggy,,11.0,,,,Modern day,Town,Race,,2000.0,,,23.0,1.0
1285-1,Yellow Tiger,,11.0,4.0,,,Modern day,Town,Race,,2000.0,,,23.0,1.0
1286-1,King Leo's Spear Cart,,17.0,9.0,3.5,2.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,22.0,1.0
1287-1,Richard's Arrowseat,,11.0,17.0,2.0,2.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,15.0,1.0
1288-1,Bull's Fire Attacker,,14.0,10.0,4.0,2.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,24.0,1.0
1289-1,Weezil's Stone Bomber,,11.0,12.0,2.5,2.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,22.0,1.0
1290-1,Lava Buggy,,11.0,,,,Technical,Technic,Robo Riders,,2000.0,,,35.0,0.0
1291-1,Power Bike,,18.0,,,,Technical,Technic,Robo Riders,,2000.0,,,32.0,0.0
1292-1,Frost Flyer,,18.0,,,,Technical,Technic,Robo Riders,,2000.0,,,33.0,0.0
1293-1,Swamp Craft,,27.0,,,,Technical,Technic,Robo Riders,,2000.0,,,25.0,0.0
1294-1,Fire Helicopter,,22.0,,,,Modern day,Town,City,,2000.0,,,31.0,1.0
1295-1,Water Rider,,14.0,4.0,,,Modern day,Town,City,,2000.0,,,30.0,1.0
1296-1,Land Scooper,,27.0,,,,Modern day,Town,City,,2000.0,,,30.0,1.0
1297-1,Speed Patroller,,18.0,3.0,,,Modern day,Town,City,,2000.0,,,34.0,1.0
1349-1,Steven Spielberg Moviemaker Set,180.0,171.0,85.0,3.9,10.0,Modern day,Studios,,,2000.0,,,442.0,7.0
3148-1,Carla's Winter Camp,38.0,61.0,36.0,,,Girls,Scala,,,2000.0,,,167.0,1.0
3149-1,Happy Home,100.0,,,,,Girls,Scala,,,2000.0,,,265.0,3.0
3150-1,Puppy Playground,8.0,19.0,16.0,,,Girls,Scala,,,2000.0,,,35.0,0.0
3151-1,Emma on the Move,15.0,51.0,28.0,,,Girls,Scala,,,2000.0,,,65.0,1.0
3152-1,Playroom for the Baby Thomas,15.0,11.0,,,,Girls,Scala,,,2000.0,,,81.0,1.0
3155-1,Olivia in Smooth Dress,9.0,9.0,,,,Girls,Scala,,,2000.0,,,6.0,1.0
3156-1,Hot Wear for Woman,5.0,5.0,,,,Girls,Scala,,,2000.0,,,3.0,0.0
3157-1,Cool Wear for Girls,5.0,4.0,3.0,,,Girls,Scala,,,2000.0,,,2.0,0.0
3158-1,Christian in Tough Wear,9.0,7.0,,,,Girls,Scala,,,2000.0,,,7.0,1.0
3159-1,Celebration,5.0,11.0,,,,Girls,Scala,,,2000.0,,,41.0,0.0
3340-1,"Emperor Palpatine, Darth Maul and Darth Vader Minifig Pack - Star Wars #1",5.0,78.0,44.0,5.0,4.0,Licensed,Star Wars,Minifig Pack,,2000.0,,,32.0,3.0
3341-1,"Luke Skywalker, Han Solo and Boba Fett Minifig Pack - Star Wars #2",5.0,68.0,40.0,4.0,3.0,Licensed,Star Wars,Minifig Pack,,2000.0,,,22.0,3.0
3342-1,Chewbacca and 2 Biker Scouts Minifig Pack - Star Wars #3,5.0,42.0,33.0,4.7,3.0,Licensed,Star Wars,Minifig Pack,,2000.0,,,22.0,3.0
3343-1,2 Battle Droids and Command Officer Minifig Pack - Star Wars #4,5.0,22.0,12.0,5.0,4.0,Licensed,Star Wars,Minifig Pack,,2000.0,,,30.0,3.0
3344-1,One Minifig Pack - Ninja #1,,41.0,33.0,3.7,3.0,Historical,Castle,Ninja,,2000.0,,,9.0,1.0
3345-1,Three Minifig Pack - Ninja #2,,65.0,65.0,3.0,2.0,Historical,Castle,Ninja,,2000.0,,,21.0,3.0
3346-1,Three Minifig Pack - Ninja #3,5.0,70.0,85.0,4.0,5.0,Historical,Castle,Ninja,,2000.0,,,22.0,3.0
3347-1,One Minifig Pack - Rock Raiders #1,,37.0,29.0,4.8,5.0,Action/Adventure,Rock Raiders,,,2000.0,,,8.0,1.0
3348-1,Three Minifig Pack - Rock Raiders #2,,24.0,12.0,5.0,1.0,Action/Adventure,Rock Raiders,,,2000.0,,,23.0,3.0
3349-1,Three Minifig Pack - Rock Raiders #3,,14.0,,4.5,2.0,Action/Adventure,Rock Raiders,,,2000.0,,,26.0,3.0
3350-1,Three Minifig Pack - City #1,5.0,13.0,12.0,5.0,1.0,Modern day,Town,City,,2000.0,,,24.0,3.0
3351-1,Three Minifig Pack - City #2,5.0,8.0,17.0,5.0,2.0,Modern day,Town,City,,2000.0,,,21.0,3.0
3401-1,Shoot 'n' Score,6.0,22.0,6.0,3.6,5.0,Modern day,Sports,Football,,2000.0,,,22.0,2.0
3401-2,Shoot 'n' Score (Zidane Edition),,47.0,20.0,2.0,1.0,Modern day,Sports,Football,,2000.0,,,22.0,2.0
3402-1,Stand with Lights,10.0,20.0,7.0,4.1,7.0,Modern day,Sports,Football,,2000.0,,,62.0,2.0
3403-1,Fans' Grandstand with Scoreboard,15.0,20.0,9.0,4.1,7.0,Modern day,Sports,Football,,2000.0,,,81.0,3.0
3404-1,Black Team Transport,20.0,45.0,26.0,4.5,2.0,Modern day,Sports,Football,,2000.0,,,127.0,6.0
3405-1,Blue Team Bus,20.0,40.0,20.0,4.7,3.0,Modern day,Sports,Football,,2000.0,,,131.0,6.0
3406-1,Americas Team Bus,20.0,26.0,18.0,4.2,5.0,Modern day,Sports,Football,,2000.0,,,133.0,6.0
3406-2,French Team Bus,,,,,,Modern day,Sports,Football,,2000.0,,,,0.0
3407-1,Red Team Transport,20.0,31.0,16.0,4.5,2.0,Modern day,Sports,Football,,2000.0,,,133.0,6.0
3408-1,Super Sports Coverage,30.0,45.0,22.0,3.7,7.0,Modern day,Sports,Football,,2000.0,,,222.0,5.0
3409-1,Championship Challenge,50.0,141.0,41.0,4.7,10.0,Modern day,Sports,Football,,2000.0,,,294.0,12.0
3410-1,Field Expander,15.0,17.0,8.0,4.0,5.0,Modern day,Sports,Football,,2000.0,,,49.0,4.0
3412-1,Point Shooting,5.0,27.0,4.0,3.0,3.0,Modern day,Sports,Football,,2000.0,,,24.0,1.0
3413-1,Goalkeeper,5.0,9.0,1.0,3.0,1.0,Modern day,Sports,Football,,2000.0,,,27.0,1.0
3414-1,Precision Shooting,5.0,10.0,2.0,5.0,1.0,Modern day,Sports,Football,,2000.0,,,24.0,1.0
3439-1,Spy Runner,10.0,14.0,8.0,5.0,1.0,Modern day,Town,Special,,2000.0,,,107.0,2.0
3450-1,Statue of Liberty,199.0,200.0,971.0,4.7,6.0,Model making,Creator Expert,Sculptures,,2000.0,,,2882.0,0.0
3723-1,LEGO Mini-Figure,149.0,700.0,275.0,4.6,5.0,Model making,Creator Expert,Sculptures,,2000.0,,,1849.0,0.0
3801-1,Ultimate Accessory Set,50.0,80.0,20.0,5.0,1.0,Technical,Mindstorms,1.5,,2000.0,,,45.0,0.0
3900-1,Bracelet,,9.0,,,,Girls,Scala,,,2000.0,,,20.0,0.0
4164-1,Mickey's Fire Engine,10.0,31.0,15.0,2.8,4.0,Junior,Mickey Mouse,,,2000.0,,,26.0,1.0
4165-1,Minnie's Birthday Party,17.0,85.0,41.0,4.0,2.0,Junior,Mickey Mouse,,,2000.0,,,82.0,2.0
4166-1,Mickey's Car Garage,20.0,77.0,39.0,,,Junior,Mickey Mouse,,,2000.0,,,88.0,1.0
4167-1,Mickey's Mansion,40.0,155.0,100.0,,,Junior,Mickey Mouse,,,2000.0,,,119.0,2.0
4178-1,Mickey's Fishing Adventure,24.0,71.0,37.0,,,Junior,Mickey Mouse,,,2000.0,,,104.0,2.0
4801-1,Defence Archer,2.0,10.0,4.0,3.0,4.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,15.0,1.0
4806-1,Axe Cart,3.0,11.0,7.0,3.7,9.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,28.0,1.0
4807-1,Fire Attack,1.95,11.0,6.0,3.0,2.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,24.0,1.0
4811-1,Defense Archer,2.0,9.0,7.0,4.1,7.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,15.0,1.0
4816-1,Knights' Catapult,5.0,21.0,12.0,3.8,5.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,50.0,2.0
4817-1,Dungeon,5.0,21.0,9.0,3.6,5.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,38.0,2.0
4818-1,Dragon Rider,5.0,25.0,16.0,4.3,4.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,11.0,1.0
4819-1,Bulls' Attack Wagon,5.0,21.0,12.0,3.3,4.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,49.0,2.0
5206-1,Speed Computer,20.0,51.0,30.0,4.3,3.0,Technical,Technic,,,2000.0,,,19.0,0.0
5218-1,Pneumatic Pack,28.0,162.0,102.0,4.0,1.0,Technical,Technic,,,2000.0,,,147.0,0.0
5219-1,Silver Wheel Multi Pack,30.0,69.0,62.0,3.0,1.0,Technical,Technic,,,2000.0,,,28.0,0.0
5220-1,Vehicle Styling Pack,12.0,129.0,,,,Technical,Technic,,,2000.0,,,221.0,0.0
5221-1,Motorised Base Pack,40.0,23.0,20.0,,,Technical,Technic,,,2000.0,,,55.0,0.0
5222-1,Vehicle Chassis Pack,17.0,40.0,25.0,,,Technical,Technic,,,2000.0,,,137.0,0.0
5823-1,The Good Fairy's Bedroom,6.0,13.0,14.0,,,Girls,Belville,Fairy-Tale,,2000.0,,,36.0,1.0
5824-1,The Good Fairy's House,8.0,,20.0,,,Girls,Belville,Fairy-Tale,,2000.0,,,66.0,1.0
5825-1,Stella and the Fairy,13.0,27.0,14.0,,,Girls,Belville,Fairy-Tale,,2000.0,,,54.0,2.0
5826-1,The Queen's Room,17.0,34.0,29.0,4.0,1.0,Girls,Belville,Fairy-Tale,,2000.0,,,79.0,1.0
5827-1,Royal Coach,27.0,99.0,21.0,,,Girls,Belville,Fairy-Tale,,2000.0,,,83.0,3.0
5903-1,Johnny Thunder and Baby T,2.0,10.0,5.0,2.8,6.0,Historical,Adventurers,Dino Island,,2000.0,,,23.0,1.0
5904-1,Microcopter,2.0,8.0,3.0,2.0,1.0,Historical,Adventurers,Dino Island,,2000.0,,,28.0,1.0
5911-1,Johnny Thunder's Plane,3.0,23.0,5.0,2.8,5.0,Historical,Adventurers,Dino Island,,2000.0,,,22.0,1.0
5912-1,Mike's Swamp Boat,3.0,11.0,5.0,3.2,5.0,Historical,Adventurers,Dino Island,,2000.0,,,19.0,1.0
5913-1,Dr. Kilroy's Car,3.0,8.0,6.0,3.0,3.0,Historical,Adventurers,Dino Island,,2000.0,,,21.0,1.0
5914-1,Sam Sanister and Baby T,3.0,11.0,8.0,3.3,6.0,Historical,Adventurers,Dino Island,,2000.0,,,21.0,1.0
5920-1,Island Racer,,24.0,11.0,4.9,12.0,Historical,Adventurers,Dino Island,,2000.0,,,50.0,1.0
5921-1,Research Glider,6.0,11.0,7.0,3.5,8.0,Historical,Adventurers,Dino Island,,2000.0,,,57.0,1.0
5934-1,Dino Explorer,14.99,50.0,25.0,4.3,12.0,Historical,Adventurers,Dino Island,,2000.0,,,88.0,2.0
5935-1,Island Hopper,20.0,39.0,21.0,4.4,9.0,Historical,Adventurers,Dino Island,,2000.0,,,205.0,1.0
5955-1,All Terrain Trapper,30.0,70.0,30.0,4.5,4.0,Historical,Adventurers,Dino Island,,2000.0,,,185.0,3.0
5975-1,T-Rex Transport,50.0,91.0,48.0,4.6,9.0,Historical,Adventurers,Dino Island,,2000.0,,,321.0,5.0
5987-1,Dino Research Compound,80.0,166.0,77.0,4.8,12.0,Historical,Adventurers,Dino Island,,2000.0,,,617.0,6.0
6026-1,King Leo,5.0,20.0,10.0,3.7,14.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,21.0,2.0
6032-1,Catapult Crusher,6.0,22.0,8.0,3.8,5.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,56.0,1.0
6091-1,King Leo's Castle,90.0,400.0,117.0,4.0,4.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,529.0,8.0
6094-1,Guarded Treasure,15.0,36.0,16.0,4.0,9.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,103.0,2.0
6095-1,Royal Joust,20.0,51.0,23.0,3.7,6.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,101.0,3.0
6096-1,Bull's Attack,50.0,72.0,43.0,4.4,5.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,313.0,4.0
6098-1,King Leo's Castle,90.0,244.0,98.0,4.3,7.0,Historical,Castle,Knights' Kingdom I,,2000.0,,,529.0,8.0
6423-1,Mini Tow Truck,5.0,13.0,5.0,3.7,3.0,Modern day,Town,City,,2000.0,,,35.0,1.0
6470-1,Mini Dump Truck,3.0,9.0,2.0,4.1,8.0,Modern day,Town,City,,2000.0,,,25.0,1.0
6471-1,4WD Police Patrol,5.0,11.0,3.0,3.4,9.0,Modern day,Town,City,,2000.0,,,30.0,1.0
6474-1,4-Wheeled Front Shovel,7.0,11.0,4.0,4.4,5.0,Modern day,Town,City,,2000.0,,,52.0,1.0
6477-1,Fire Fighters' Lift Truck,20.0,26.0,17.0,4.5,2.0,Modern day,Town,City,,2000.0,,,114.0,3.0
6478-1,Fire Fighters' HQ,50.0,45.0,31.0,1.6,7.0,Modern day,Town,City,,2000.0,,,237.0,4.0
6519-1,Turbo Tiger,5.0,5.0,4.0,4.0,4.0,Modern day,Town,Race,,2000.0,,,47.0,1.0
6520-1,Mobile Outpost,29.99,70.0,25.0,4.6,7.0,Modern day,Town,Arctic,,2000.0,,,218.0,2.0
6570-1,{snowmobile},,,,,,Modern day,Town,Arctic,,2000.0,,,,0.0
6573-1,Arctic Expedition,15.0,40.0,10.0,3.8,4.0,Modern day,Town,Arctic,,2000.0,,,121.0,2.0
6575-1,Polar Base,60.0,110.0,65.0,4.0,1.0,Modern day,Town,Arctic,,2000.0,,,441.0,6.0
6576-1,{sledge},,,,,,Modern day,Town,Arctic,,2000.0,,,,0.0
6577-1,Snow Scooter,2.0,15.0,4.0,2.8,5.0,Modern day,Town,Arctic,,2000.0,,,21.0,1.0
6578-1,Polar Explorer,,15.0,4.0,2.0,1.0,Modern day,Town,Arctic,,2000.0,,,22.0,1.0
6579-1,Ice Surfer,5.0,14.0,5.0,4.0,7.0,Modern day,Town,Arctic,,2000.0,,,43.0,1.0
6586-1,Polar Scout,,25.0,9.0,4.3,3.0,Modern day,Town,Arctic,,2000.0,,,56.0,1.0
6600-2,Highway Construction,80.0,196.0,113.0,4.0,8.0,Modern day,Town,City,,2000.0,,,317.0,5.0
6602-2,Scorpion Buggy,10.0,17.0,4.0,4.6,5.0,Modern day,Town,Race,,2000.0,,,78.0,1.0
6616-1,Rocket Dragster,20.0,30.0,10.0,4.0,2.0,Modern day,Town,Race,,2000.0,,,147.0,1.0
6617-1,Tough Truck Rally,50.0,31.0,23.0,4.5,2.0,Modern day,Town,Race,,2000.0,,,383.0,4.0
6618-1,Blue Racer,,6.0,3.0,3.3,3.0,Modern day,Town,Race,,2000.0,,,23.0,1.0
6619-1,Red Four Wheel Driver,2.0,6.0,2.0,3.0,2.0,Modern day,Town,Race,,2000.0,,,20.0,1.0
6626-2,Snow Scooter,2.0,17.0,5.0,3.7,3.0,Modern day,Town,Arctic,,2000.0,,,20.0,1.0
6707-1,Green Buggy,,6.0,1.0,3.3,3.0,Modern day,Town,Race,,2000.0,,,23.0,1.0
6713-1,Grip 'n' Go Challenge,30.0,25.0,12.0,4.0,3.0,Modern day,Town,Race,,2000.0,,,291.0,3.0
6714-1,Speed Dragster,15.0,17.0,10.0,3.5,2.0,Modern day,Town,Race,,2000.0,,,80.0,1.0
7104-1,Desert Skiff,6.0,30.0,16.0,3.7,27.0,Licensed,Star Wars,Episode VI,,2000.0,,,55.0,2.0
7115-1,Gungan Patrol,10.0,39.0,26.0,4.4,18.0,Licensed,Star Wars,Episode I,,2000.0,,,77.0,2.0
7124-1,Flash Speeder,10.0,26.0,13.0,4.7,19.0,Licensed,Star Wars,Episode I,,2000.0,,,106.0,1.0
7134-1,A-wing Fighter,15.0,43.0,18.0,4.4,10.0,Licensed,Star Wars,Episode VI,,2000.0,,,125.0,2.0
7144-1,Slave I,20.0,79.0,34.0,3.9,19.0,Licensed,Star Wars,Episode V,,2000.0,,,166.0,2.0
7155-1,Trade Federation AAT,20.0,79.0,46.0,4.5,15.0,Licensed,Star Wars,Episode I,,2000.0,,,158.0,2.0
7159-1,Star Wars Bucket,25.0,91.0,35.0,3.7,3.0,Licensed,Star Wars,Episode I,,2000.0,,,292.0,3.0
7180-1,B-wing at Rebel Control Center,30.0,55.0,34.0,4.3,10.0,Licensed,Star Wars,Episode VI,,2000.0,,,338.0,3.0
7181-1,TIE Interceptor,100.0,724.0,205.0,4.8,6.0,Licensed,Star Wars,Ultimate Collector Series,,2000.0,,,703.0,0.0
7184-1,Trade Federation MTT,50.0,161.0,58.0,4.2,11.0,Licensed,Star Wars,Episode I,,2000.0,,,470.0,7.0
7190-1,Millennium Falcon,100.0,212.0,165.0,4.5,13.0,Licensed,Star Wars,Episode IV,,2000.0,,,663.0,6.0
7191-1,X-wing Fighter,150.0,413.0,345.0,4.8,12.0,Licensed,Star Wars,Ultimate Collector Series,,2000.0,,,1300.0,1.0
8000-1,Pit Droid,20.0,44.0,27.0,3.5,6.0,Licensed,Star Wars,Technic,,2000.0,,,223.0,0.0
8001-1,Battle Droid,30.0,65.0,40.0,4.7,6.0,Licensed,Star Wars,Technic,,2000.0,,,363.0,0.0
8002-1,Destroyer Droid,50.0,190.0,75.0,4.4,11.0,Licensed,Star Wars,Technic,,2000.0,,,558.0,0.0
8003-1,Volcano Climber,,8.0,2.0,4.0,4.0,Technical,Technic,Robo Riders,,2000.0,,,35.0,0.0
8004-1,Dirt Bike,,10.0,4.0,4.0,4.0,Technical,Technic,Robo Riders,,2000.0,,,32.0,0.0
8005-1,Ice Explorer,,8.0,4.0,3.7,3.0,Technical,Technic,Robo Riders,,2000.0,,,34.0,0.0
8006-1,Swamp Craft,,15.0,3.0,3.8,4.0,Technical,Technic,Robo Riders,,2000.0,,,25.0,0.0
8236-1,Bike Burner,6.0,10.0,6.0,4.0,3.0,Technical,Technic,Speed Slammers,,2000.0,,,60.0,0.0
8237-1,Formula Force,10.0,11.0,10.0,3.5,2.0,Technical,Technic,Speed Slammers,,2000.0,,,115.0,0.0
8238-1,Dueling Dragsters,18.0,37.0,9.0,5.0,1.0,Technical,Technic,Speed Slammers,,2000.0,,,202.0,0.0
8279-1,4WD X-Track,70.0,71.0,52.0,,,Technical,Technic,,,2000.0,,,449.0,0.0
8300-1,LEGO Technic Guys,11.0,167.0,27.0,4.0,1.0,Technical,Technic,,,2000.0,,,5.0,2.0
8305-1,Duel Bikes,30.0,74.0,28.0,,,Technical,Technic,Competition,,2000.0,,,192.0,2.0
8307-1,Stunt Race,90.0,53.0,45.0,5.0,1.0,Technical,Technic,Competition,,2000.0,,,392.0,1.0
8457-1,Power Puller,100.0,379.0,169.0,5.0,3.0,Technical,Technic,,,2000.0,,,979.0,1.0
8458-1,Silver Champion,170.0,514.0,172.0,5.0,6.0,Technical,Technic,,,2000.0,,,1431.0,0.0
8509-1,Swamp,6.0,18.0,6.0,4.5,4.0,Technical,Technic,Robo Riders,,2000.0,,,45.0,0.0
8510-1,Lava,6.0,20.0,5.0,4.5,6.0,Technical,Technic,Robo Riders,,2000.0,,,35.0,0.0
8511-1,Frost,6.0,35.0,5.0,4.0,5.0,Technical,Technic,Robo Riders,,2000.0,,,44.0,0.0
8512-1,Onyx,6.0,20.0,6.0,4.8,4.0,Technical,Technic,Robo Riders,,2000.0,,,37.0,0.0
8513-1,Dust,6.0,9.0,6.0,4.0,5.0,Technical,Technic,Robo Riders,,2000.0,,,46.0,0.0
8514-1,Power,6.0,23.0,6.0,4.2,5.0,Technical,Technic,Robo Riders,,2000.0,,,32.0,0.0
8515-1,RoboRider Wheels,2.0,3.0,1.0,3.5,2.0,Technical,Technic,Robo Riders,,2000.0,,,4.0,0.0
8516-1,Super RoboRider,,63.0,15.0,4.4,5.0,Technical,Technic,Robo Riders,,2000.0,,,125.0,0.0
8521-1,Flare,6.0,20.0,6.0,4.6,7.0,Technical,Technic,Slizer,,2000.0,,,44.0,0.0
8522-1,Spark,6.0,12.0,8.0,4.6,8.0,Technical,Technic,Slizer,,2000.0,,,35.0,0.0
8523-1,Blaster,15.0,42.0,10.0,4.3,7.0,Technical,Technic,Slizer,,2000.0,,,88.0,0.0
9731-1,Vision Command,100.0,,40.0,3.0,1.0,Technical,Mindstorms,1.5,,2000.0,,,138.0,0.0
9736-1,Exploration Mars,50.0,21.0,40.0,5.0,1.0,Technical,Mindstorms,1.5,,2000.0,,,155.0,0.0
9739-1,Micro Scout PC Link,,,,,,Technical,Mindstorms,1.5,,2000.0,,,,0.0
1100-1,Sky Pirates,17.0,36.0,,4.0,1.0,Modern day,Town,Special,,2001.0,,,109.0,2.0
1195-1,Alien Encounter,,6.0,5.0,4.7,7.0,Action/Adventure,Space,Life On Mars,,2001.0,,,42.0,2.0
1202-1,Single Racers Figure Pack,,,,2.0,1.0,Racing,Racers,Xalax,,2001.0,,,1.0,0.0
1237-1,Honda Asimo,,28.0,,4.0,1.0,Technical,Technic,,,2001.0,,,56.0,0.0
