set_no,name,price_store,price_new,price_used,rating_value,rating_votes,theme_group,theme,subtheme,year,volume,weight,piece_cnt,minifig_cnt,number_parts,total_parts,number_spare_parts,total_spare_parts,number_colors,1st_color,2nd_color,bars_ladders_and_fences_cnt_prts,baseplates_cnt_prts,belville_scala_and_fabuland_cnt_prts,bionicle_hero_factory_and_constraction_cnt_prts,bricks_cnt_prts,bricks_curved_cnt_prts,bricks_printed_cnt_prts,bricks_round_and_cones_cnt_prts,bricks_sloped_cnt_prts,bricks_special_cnt_prts,bricks_wedged_cnt_prts,clikits_cnt_prts,containers_cnt_prts,duplo_quatro_and_primo_cnt_prts,flags_signs_plastics_and_cloth_cnt_prts,ho_scale_cnt_prts,hinges_arms_and_turntables_cnt_prts,magnets_and_holders_cnt_prts,mechanical_cnt_prts,minifig_accessories_cnt_prts,minifigs_cnt_prts,non-buildable_figures_cnt_prts,non-lego_cnt_prts,other_cnt_prts,panels_cnt_prts,plants_and_animals_cnt_prts,plates_cnt_prts,plates_angled_cnt_prts,plates_round_and_dishes_cnt_prts,plates_special_cnt_prts,pneumatics_cnt_prts,power_functions_mindstorms_and_electric_cnt_prts,rock_cnt_prts,string_bands_and_reels_cnt_prts,supports_girders_and_cranes_cnt_prts,technic_axles_cnt_prts,technic_beams_cnt_prts,technic_beams_special_cnt_prts,technic_bricks_cnt_prts,technic_bushes_cnt_prts,technic_connectors_cnt_prts,technic_gears_cnt_prts,technic_panels_cnt_prts,technic_pins_cnt_prts,technic_special_cnt_prts,technic_steering_suspension_and_engine_cnt_prts,tiles_cnt_prts,tiles_printed_cnt_prts,tiles_special_cnt_prts,tools_cnt_prts,transportation_-_land_cnt_prts,transportation_-_sea_and_air_cnt_prts,tubes_and_hoses_cnt_prts,wheels_and_tyres_cnt_prts,windows_and_doors_cnt_prts,windscreens_and_fuselage_cnt_prts,znap_cnt_prts,bars_ladders_and_fences_tot_prts,baseplates_tot_prts,belville_scala_and_fabuland_tot_prts,bionicle_hero_factory_and_constraction_tot_prts,bricks_tot_prts,bricks_curved_tot_prts,bricks_printed_tot_prts,bricks_round_and_cones_tot_prts,bricks_sloped_tot_prts,bricks_special_tot_prts,bricks_wedged_tot_prts,clikits_tot_prts,containers_tot_prts,duplo_quatro_and_primo_tot_prts,flags_signs_plastics_and_cloth_tot_prts,ho_scale_tot_prts,hinges_arms_and_turntables_tot_prts,magnets_and_holders_tot_prts,mechanical_tot_prts,minifig_accessories_tot_prts,minifigs_tot_prts,non-buildable_figures_tot_prts,non-lego_tot_prts,other_tot_prts,panels_tot_prts,plants_and_animals_tot_prts,plates_tot_prts,plates_angled_tot_prts,plates_round_and_dishes_tot_prts,plates_special_tot_prts,pneumatics_tot_prts,power_functions_mindstorms_and_electric_tot_prts,rock_tot_prts,string_bands_and_reels_tot_prts,supports_girders_and_cranes_tot_prts,technic_axles_tot_prts,technic_beams_tot_prts,technic_beams_special_tot_prts,technic_bricks_tot_prts,technic_bushes_tot_prts,technic_connectors_tot_prts,technic_gears_tot_prts,technic_panels_tot_prts,technic_pins_tot_prts,technic_special_tot_prts,technic_steering_suspension_and_engine_tot_prts,tiles_tot_prts,tiles_printed_tot_prts,tiles_special_tot_prts,tools_tot_prts,transportation_-_land_tot_prts,transportation_-_sea_and_air_tot_prts,tubes_and_hoses_tot_prts,wheels_and_tyres_tot_prts,windows_and_doors_tot_prts,windscreens_and_fuselage_tot_prts,znap_tot_prts
5948-1,Desert Expedition,20.0,,49.0,4.7,3.0,Historical,Adventurers,Desert,1998,,,196.0,5,113,199,4,4,12,Black,Light Gray,1,0,0,0,3,1,0,1,3,1,2,0,3,0,0,0,5,0,0,18,15,0,1,0,0,5,18,2,5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,4,3,0,3,2,0,3,1,1,0,2,0,0,0,4,1,0,1,6,5,2,0,4,0,0,0,9,0,0,30,18,0,1,0,0,13,31,5,14,13,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,4,6,0,3,2,0,12,4,1,0
5958-1,Mummy's Tomb,30.0,100.0,40.0,4.4,9.0,Historical,Adventurers,Desert,1998,,,260.0,4,125,262,4,4,12,Light Gray,Black,2,1,0,0,11,3,4,6,7,3,0,0,1,0,0,0,5,0,0,12,11,0,0,0,0,4,17,0,5,5,0,0,2,0,0,2,0,0,3,2,0,0,0,1,0,0,6,3,2,0,3,0,0,2,1,1,0,2,1,0,0,39,7,4,31,23,11,0,0,1,0,0,0,5,0,0,14,12,0,0,0,0,11,31,0,11,10,0,0,2,0,0,2,0,0,6,4,0,0,0,1,0,0,13,3,5,0,3,0,0,8,1,1,0
5978-1,Sphinx Secret Surprise,50.0,170.0,78.0,4.8,12.0,Historical,Adventurers,Desert,1998,,,347.0,7,196,353,0,0,14,Light Gray,Black,0,1,0,0,26,1,3,4,19,1,0,0,3,0,1,0,8,0,0,26,21,0,0,0,0,6,30,0,7,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,9,1,0,3,0,0,2,0,1,0,0,1,0,0,64,5,3,10,45,2,0,0,4,0,1,0,11,0,0,33,24,0,0,0,0,15,50,0,20,26,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,11,9,4,0,3,0,0,8,0,1,0
5988-1,The Temple of Anubis,80.0,475.0,150.0,4.9,10.0,Historical,Adventurers,Desert,1998,,,711.0,10,264,733,13,13,17,Light Gray,Black,7,1,0,0,28,5,7,9,14,9,1,0,7,0,0,0,8,3,0,29,25,0,0,0,4,14,34,1,13,8,0,0,3,4,0,2,0,0,2,2,0,0,0,0,0,0,3,7,2,0,3,2,1,2,2,2,0,9,2,0,0,108,10,7,51,56,66,8,0,8,0,0,0,11,4,0,45,44,0,0,0,7,45,108,4,30,38,0,0,5,8,0,3,0,0,3,2,0,0,0,0,0,0,8,8,10,0,3,5,1,12,2,2,0
6028-1,Treasure Cart,,50.0,12.0,3.7,3.0,Historical,Castle,Fright Knights,1998,,,22.0,1,21,25,2,2,8,Brown,Red,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,1,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,1,3,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
6029-1,Treasure Guard,2.0,30.0,18.0,3.0,2.0,Historical,Castle,Fright Knights,1998,,,22.0,1,21,25,2,2,8,Brown,Red,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,1,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,1,3,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
6031-1,Fright Force,6.0,42.0,23.0,5.0,3.0,Historical,Castle,Fright Knights,1998,,,30.0,4,30,32,4,4,9,Black,Dark Gray,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14,10,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14,12,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6033-1,Treasure Transport,6.0,44.0,10.0,4.6,7.0,Historical,Castle,Ninja,1998,,,54.0,3,44,61,2,2,12,Black,Red,1,0,0,0,5,0,0,2,0,0,0,0,0,0,1,0,2,0,0,10,9,0,1,0,1,2,3,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,2,0,0,0,0,0,0,1,0,4,0,0,16,9,0,1,0,2,4,4,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6045-1,Ninja Surprise,13.0,45.0,21.0,4.2,10.0,Historical,Castle,Ninja,1998,,,112.0,3,59,112,0,0,10,Black,Red,1,1,0,0,8,0,0,3,4,4,0,0,0,0,3,0,0,0,0,10,9,0,0,0,0,2,4,0,1,4,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,0,0,17,10,8,0,0,0,0,5,0,0,0,0,14,9,0,0,0,0,8,9,0,2,9,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083-2,Samurai Stronghold,20.0,75.0,33.0,4.6,9.0,Historical,Castle,Ninja,1998,,,198.0,3,79,198,0,0,13,Black,Light Gray,1,1,0,0,5,2,0,7,7,8,0,0,0,0,2,0,0,0,0,13,9,0,0,0,2,2,9,0,1,2,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,12,3,0,37,20,27,0,0,0,0,4,0,0,0,0,19,9,0,0,0,8,6,23,0,4,5,0,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0
6088-1,Robber's Retreat,30.0,130.0,50.0,3.8,5.0,Historical,Castle,Ninja,1998,,,277.0,4,119,281,0,0,12,Black,Red,1,1,0,0,12,0,0,5,11,5,0,0,0,0,3,0,4,0,0,13,9,0,0,0,4,3,20,0,1,11,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,5,0,1,0,0,0,0,1,3,0,0,3,1,0,0,27,0,0,29,26,23,0,0,0,0,6,0,6,0,0,25,12,0,0,0,14,9,43,0,2,20,0,0,4,1,0,1,0,0,8,0,0,0,0,2,0,0,11,0,2,0,0,0,0,2,4,0,0
6089-1,Stone Tower Bridge,50.0,190.0,65.0,4.5,6.0,Historical,Castle,Ninja,1998,,,409.0,5,120,410,0,0,11,Black,Red,1,0,0,0,16,2,0,2,11,6,0,0,2,0,3,0,6,0,0,15,15,0,0,0,3,4,15,0,2,5,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,0,0,2,0,0,0,44,4,0,27,68,63,0,0,2,0,4,0,14,0,0,24,15,0,0,0,15,8,46,0,13,29,0,0,2,1,0,2,0,0,11,2,0,0,0,4,0,0,2,0,2,0,0,0,0,2,4,0,0
6093-1,Flying Ninja Fortress,90.0,270.0,128.0,4.7,10.0,Historical,Castle,Ninja,1998,,,694.0,9,172,698,0,0,14,Black,White,4,0,0,0,28,4,0,6,9,9,0,0,3,0,3,0,2,0,0,22,21,0,0,0,2,4,25,0,2,7,0,0,2,1,0,2,0,0,4,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,5,0,0,19,0,0,0,146,8,0,42,121,59,0,0,3,0,14,0,2,0,0,47,30,0,0,0,9,16,103,0,6,31,0,0,3,1,0,2,0,0,18,1,0,0,0,0,0,0,9,1,1,0,0,0,0,0,6,0,0
6100-1,Aquashark Dart,,13.0,3.0,2.7,3.0,Action/Adventure,Aquazone,Aquasharks,1998,,,24.0,1,19,24,0,0,7,Black,Blue,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0
6107-1,Recon Ray,3.0,6.0,4.0,4.3,4.0,Action/Adventure,Aquazone,Stingrays,1998,,,20.0,1,16,20,0,0,7,Light Gray,Dark Gray,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
6109-1,Sea Creeper,10.0,45.0,60.0,4.0,3.0,Action/Adventure,Aquazone,Stingrays,1998,,,79.0,1,40,80,1,1,8,Black,Dark Gray,1,1,0,0,1,0,0,1,2,0,0,0,2,0,0,0,6,0,0,3,3,0,0,0,0,1,8,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,2,1,0,0,3,0,0,2,8,0,0,0,2,0,0,0,20,0,0,4,3,0,0,0,0,1,14,2,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0
6110-1,Solo Sub,4.0,14.0,6.0,3.5,8.0,Action/Adventure,Aquazone,Hydronauts,1998,,,25.0,1,22,26,1,1,9,Black,Light Gray,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,0,0,1,0
6140-1,Crab,10.0,31.0,12.0,3.7,3.0,Action/Adventure,Aquazone,Stingrays,1998,,,78.0,1,39,79,1,1,8,Black,Dark Gray,1,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,6,0,0,3,3,0,0,0,0,1,8,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,2,0,0,0,3,0,0,2,8,0,0,0,2,0,0,0,20,0,0,4,3,0,0,0,0,1,14,2,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0
6150-1,Crystal Detector,20.0,50.0,25.0,4.0,3.0,Action/Adventure,Aquazone,Hydronauts,1998,,,104.0,1,62,106,1,1,10,Black,Yellow,0,0,0,0,4,0,0,1,3,4,0,0,2,0,0,0,9,0,0,6,3,0,0,0,0,0,7,1,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,3,1,1,0,2,0,0,0,0,0,4,0,0,2,13,7,0,0,2,0,0,0,19,0,0,8,3,0,0,0,0,0,11,2,5,6,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,5,0,0,6,1,4,0,2,0
6159-1,Crystal Detector,,,,,,Action/Adventure,Aquazone,Hydronauts,1998,,,104.0,1,62,106,1,1,10,Black,Yellow,0,0,0,0,4,0,0,1,3,4,0,0,2,0,0,0,9,0,0,6,3,0,0,0,0,0,7,1,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,3,1,1,0,2,0,0,0,0,0,4,0,0,2,13,7,0,0,2,0,0,0,19,0,0,8,3,0,0,0,0,0,11,2,5,6,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,5,0,0,6,1,4,0,2,0
6160-1,Sea Scorpion,35.0,79.0,40.0,4.5,4.0,Action/Adventure,Aquazone,Stingrays,1998,,,301.0,3,103,306,1,1,9,Black,Dark Gray,1,0,0,0,11,0,0,2,8,3,0,0,2,0,0,0,12,0,0,6,8,0,0,0,0,0,11,9,4,5,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,2,3,4,0,0,3,1,0,0,2,0,2,0,0,0,39,0,0,7,33,5,0,0,4,0,0,0,27,0,0,21,9,0,0,0,0,0,30,19,28,12,0,0,2,0,0,0,4,0,5,0,0,0,0,5,0,0,7,8,27,0,0,9,1,0,0,2,0
6180-1,Hydro Search Sub,50.0,86.0,66.0,4.4,7.0,Action/Adventure,Aquazone,Hydronauts,1998,,,297.0,4,110,297,0,0,13,Black,Yellow,1,0,0,0,11,2,0,4,7,5,2,0,2,0,0,0,6,3,0,8,11,0,0,0,2,0,14,6,3,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,5,1,0,0,3,1,0,0,3,0,2,0,0,0,38,4,0,19,17,17,4,0,6,0,0,0,12,8,0,21,12,0,0,0,9,0,28,8,20,16,0,0,1,0,0,10,0,0,0,0,0,0,0,4,0,0,13,12,2,0,0,8,2,0,0,4,0
6198-1,Stingray Stormer,70.0,280.0,111.0,4.5,6.0,Action/Adventure,Aquazone,Stingrays,1998,,,408.0,4,123,413,0,0,9,Black,Dark Gray,0,0,0,0,12,0,0,3,9,3,4,0,2,0,0,0,11,3,0,7,8,0,0,0,3,5,16,9,3,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,4,3,4,0,0,2,1,0,0,0,0,0,0,0,0,35,0,0,27,40,7,7,0,2,0,0,0,26,4,0,23,12,0,0,0,6,5,61,24,35,15,0,0,2,0,0,2,0,0,2,0,0,0,0,6,0,0,19,12,27,0,0,12,2,0,0,0,0
6199-1,Hydro Crystallisation Station,90.0,325.0,101.0,4.0,3.0,Action/Adventure,Aquazone,Hydronauts,1998,,,482.0,5,160,486,1,1,13,Black,Yellow,6,1,0,0,18,1,0,6,10,10,1,0,2,0,0,0,9,0,0,8,11,0,0,0,3,5,18,2,5,16,0,0,2,1,0,2,0,0,1,0,0,0,0,1,0,0,5,4,4,0,0,5,1,0,0,2,0,15,1,0,0,52,2,0,32,38,34,2,0,2,0,0,0,15,0,0,24,15,0,0,0,6,7,46,5,46,40,0,0,6,1,0,8,0,0,4,0,0,0,0,8,0,0,27,13,23,0,0,11,1,0,0,2,0
6324-1,Chopper Cop,3.0,10.0,3.0,3.7,7.0,Modern day,Town,Police,1998,,,17.0,1,24,27,3,3,8,Black,White,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,6,0,0,0
6325-1,Package Pick-Up,4.75,10.0,4.0,3.2,5.0,Modern day,Town,Vehicles,1998,,,28.0,1,21,29,0,0,7,White,Black,0,0,0,0,1,0,2,0,1,0,0,0,2,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,3,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,9,0,1,0
6326-1,Town Folk,6.0,20.0,9.0,4.6,8.0,Modern day,Town,Accessories,1998,620.54,,35.0,6,35,40,0,0,12,White,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0
6327-1,Turbo Champ,10.0,11.0,4.0,3.8,4.0,Modern day,Town,Vehicles,1998,,,48.0,2,38,48,0,0,9,Black,White,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,3,0,0,4,0,1,0,3,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,3,0,0,12,0,1,0
6328-1,Helicopter Transport,15.0,38.0,8.0,2.5,6.0,Modern day,Town,Police,1998,,,102.0,2,55,103,1,1,10,Black,White,2,0,0,0,6,0,2,1,6,1,0,0,0,0,0,0,1,0,0,5,4,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,4,2,0,2,0,2,0,4,0,0,0,8,0,4,4,12,2,0,0,0,0,0,0,1,0,0,5,6,0,0,0,0,0,8,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,5,2,0,20,0,2,0
6329-1,Truck Stop,25.0,48.0,22.0,4.0,4.0,Modern day,Town,City,1998,,,137.0,3,82,140,1,1,14,Black,White,3,1,0,0,7,0,3,3,6,0,1,0,2,0,1,0,1,0,0,11,9,0,0,0,2,3,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,6,0,0,3,4,2,0,5,1,0,0,12,0,7,6,10,0,1,0,4,0,2,0,1,0,0,13,10,0,0,0,2,5,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,7,0,0,28,4,3,0
6330-1,Cargo Center,49.75,67.0,39.0,3.3,3.0,Modern day,Town,City,1998,,,242.0,5,122,248,1,2,13,Black,White,3,1,0,0,18,0,3,0,14,0,1,0,4,0,0,0,4,0,0,16,9,0,0,0,2,3,8,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,8,4,0,5,2,2,0,3,2,0,0,47,0,5,0,21,0,2,0,8,0,0,0,4,0,0,18,16,0,0,0,13,10,17,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,8,7,0,41,3,2,0
6332-1,Command Post Central,60.0,85.0,43.0,3.4,7.0,Modern day,Town,Police,1998,,,272.0,7,143,285,6,8,12,Black,White,11,3,0,0,21,0,3,1,13,2,2,0,0,0,0,0,3,0,0,10,12,0,0,0,0,3,6,0,9,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4,0,6,4,0,2,5,2,0,23,3,0,0,63,0,5,2,22,2,5,0,0,0,0,0,3,0,0,17,24,0,0,0,0,15,10,0,18,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,7,6,0,10,6,0,8,13,2,0
6333-1,Race and Chase,,,5.0,3.3,3.0,Modern day,Town,Vehicles,1998,,,50.0,2,28,52,2,2,8,Black,White,4,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,1,0,4,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,16,0,2,0
6415-1,Res-Q Jet-Ski,,9.0,5.0,4.2,6.0,Modern day,Town,Res-Q,1998,,,18.0,1,17,18,0,0,5,Yellow,Black,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6420-1,Mail Carrier,2.0,27.0,10.0,4.3,4.0,Modern day,Town,Postal,1998,,,12.0,1,12,14,0,0,5,Yellow,Red,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0
6422-1,Telephone Repair,8.75,28.0,5.0,3.6,5.0,Modern day,Town,Maintenance,1998,,,43.0,1,38,48,0,0,10,White,Black,2,0,0,0,3,0,1,0,3,0,0,0,2,0,0,0,0,0,0,9,3,0,0,0,2,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,1,0,2,0,0,0,5,0,1,0,3,0,0,0,2,0,0,0,0,0,0,9,3,0,0,0,4,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,8,0,1,0
6424-1,Rig Racers,20.0,12.0,10.0,4.3,4.0,Modern day,Town,Vehicles,1998,,,101.0,3,62,107,0,0,11,Black,White,2,0,0,0,5,0,3,5,8,1,0,0,0,0,1,0,0,0,0,11,10,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,2,0,1,0,3,0,0,0,7,0,5,10,9,2,0,0,0,0,1,0,0,0,0,12,11,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,6,0,0,26,0,2,0
6426-1,Super Cycle Center,30.0,62.0,18.0,3.5,4.0,Modern day,Town,City,1998,,,137.0,4,91,146,1,1,11,Black,White,5,1,0,0,11,0,1,0,5,0,1,0,3,0,2,0,0,0,0,12,10,0,0,0,2,4,4,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,9,0,0,5,4,1,0,9,2,0,0,20,0,1,0,5,0,1,0,3,0,2,0,0,0,0,18,14,0,0,0,5,6,4,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,9,0,0,22,5,1,0
6428-1,Wave Saver,2.0,7.0,2.0,,,Modern day,Town,Res-Q,1998,,,18.0,1,17,18,0,0,5,Yellow,Black,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6431-1,Road Rescue,4.0,10.0,4.0,4.1,7.0,Modern day,Town,Res-Q,1998,,,48.0,1,32,48,0,0,7,Black,White,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,1,0,3,0,0,0,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,1,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,2,1,0
