set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,main_tag,set_type,packaging
2160-1,Crystal Scavenger,Action/Adventure,Aquazone,Aquaraiders,1997.0,110.0,1.0,/inventories/2160-1,/minifigs/inset-2160-1,15.0,47.0,17.0,4.8,4.0,,Normal,Box
2161-1,Aqua Dozer,Action/Adventure,Aquazone,Aquaraiders,1997.0,136.0,1.0,/inventories/2161-1,/minifigs/inset-2161-1,25.0,90.0,22.0,4.8,6.0,,Normal,Box
2162-1,Hydro Reef Wrecker,Action/Adventure,Aquazone,Aquaraiders,1997.0,287.0,2.0,/inventories/2162-1,/minifigs/inset-2162-1,40.0,89.0,44.0,4.0,3.0,,Normal,Box
2163-1,Toucan,Basic,Basic,,1997.0,9.0,0.0,/inventories/2163-1,,,1.0,0.0,,,,Normal,Polybag
2164-1,Whale,Basic,Basic,,1997.0,9.0,0.0,/inventories/2164-1,,,2.0,1.0,,,,Normal,Polybag
2165-1,Rhinocerous,Basic,Basic,,1997.0,10.0,0.0,/inventories/2165-1,,,2.0,,,,,Normal,Polybag
2166-1,Elephant,Basic,Basic,,1997.0,10.0,0.0,/inventories/2166-1,,,3.0,,,,,Normal,Polybag
2167-1,Penguin,Basic,Basic,,1997.0,8.0,0.0,/inventories/2167-1,,,2.0,,3.0,1.0,,Normal,Polybag
2168-1,Rattle,Pre-school,Primo,,1997.0,2.0,0.0,,,,5.0,,,,,Normal,Box
2181-1,Infomaniac,Modern day,Town,Special,1997.0,4.0,1.0,,/minifigs/inset-2181-1,,270.0,45.0,4.5,2.0,,Normal,Polybag
2184-1,XL Bulk Bucket,Basic,Basic,,1997.0,1000.0,0.0,,,,,,,,,Normal,Bucket
2186-1,Freestyle Set,Basic,Freestyle,,1997.0,73.0,1.0,,/minifigs/inset-2186-1,,10.0,,,,,Normal,Box
2187-1,Freestyle Set,Basic,Freestyle,,1997.0,60.0,1.0,,/minifigs/inset-2187-1,,,,,,,Normal,Box
2188-1,Freestyle Set,Basic,Freestyle,,1997.0,56.0,1.0,,/minifigs/inset-2188-1,,,,,,,Normal,Box
2189-1,Pony Set,Pre-school,Duplo,,1997.0,3.0,0.0,/inventories/2189-1,,,,,,,,Normal,
2195-1,JUBEL 3+ BULK,Basic,Basic,,1997.0,228.0,0.0,/inventories/2195-1,,,,,5.0,1.0,,Normal,Bucket
2199-1,Large Bulk Bucket,Basic,Basic,,1997.0,466.0,0.0,/inventories/2199-1,,,,,,,,Normal,Bucket
2241-1,Basic Set,Pre-school,Duplo,,1997.0,32.0,0.0,/inventories/2241-1,,,,,,,,Normal,
2242-1,Extra Bricks (S),Pre-school,Duplo,,1997.0,50.0,0.0,/inventories/2242-1,,,,,,,,Normal,
2245-1,Farmhouse Bucket,Pre-school,Duplo,,1997.0,46.0,1.0,,/minifigs/inset-2245-1,,,,,,,Normal,
2246-1,Large Basic Set,Pre-school,Duplo,,1997.0,,0.0,,,,,,,,,Normal,Box
2247-1,Extra Bricks (M),Pre-school,Duplo,,1997.0,99.0,0.0,,,,,,5.0,1.0,,Normal,
2249-1,Basic Set,Pre-school,Duplo,,1997.0,,0.0,,,,,,,,,Normal,Box
2251-1,Horse 'n' Home,Pre-school,Duplo,,1997.0,72.0,0.0,/inventories/2251-1,,,,,,,,Normal,
2252-1,Basic Cannister Set,Pre-school,Duplo,,1997.0,36.0,1.0,/inventories/2252-1,/minifigs/inset-2252-1,,,,,,,Normal,
2261-1,Happy Gardener,Pre-school,Duplo,,1997.0,10.0,1.0,/inventories/2261-1,/minifigs/inset-2261-1,4.0,,,,,,Normal,
2262-1,Basic Set,Pre-school,Duplo,,1997.0,20.0,1.0,,/minifigs/inset-2262-1,,,,,,,Normal,Box
2264-1,Medium Bucket,Pre-school,Duplo,,1997.0,48.0,1.0,,/minifigs/inset-2264-1,,,15.0,,,,Normal,Bucket
2265-1,Large Puppy Clearpack,Pre-school,Duplo,,1997.0,71.0,0.0,,,,,,,,,Normal,Canister
2266-1,Extra Large Value Bucket,Pre-school,Duplo,,1997.0,91.0,2.0,/inventories/2266-1,/minifigs/inset-2266-1,20.0,,,,,,Normal,
2581-1,School Bus,Pre-school,Duplo,,1997.0,70.0,0.0,,,,,,,,,Normal,Other
2601-1,Mother & Baby,Pre-school,Duplo,,1997.0,7.0,0.0,/inventories/2601-1,,7.0,25.0,17.0,,,,Normal,
2602-1,Dinosaurs Family Home,Pre-school,Duplo,,1997.0,27.0,2.0,/inventories/2602-1,/minifigs/inset-2602-1,18.0,,26.0,,,,Normal,
2603-1,Dinosaur Tub,Pre-school,Duplo,,1997.0,70.0,2.0,,/minifigs/inset-2603-1,20.0,,70.0,,,,Normal,Tub
2604-1,Dino World,Pre-school,Duplo,,1997.0,58.0,4.0,/inventories/2604-1,/minifigs/inset-2604-1,70.0,136.0,,,,,Normal,
2605-1,Dinosaur Park,Pre-school,Duplo,,1997.0,42.0,4.0,/inventories/2605-1,/minifigs/inset-2605-1,40.0,,,,,,Normal,
2606-1,Dump Truck,Pre-school,Duplo,,1997.0,6.0,1.0,/inventories/2606-1,/minifigs/inset-2606-1,8.75,,7.0,,,,Normal,
2607-1,Speed Car,Pre-school,Duplo,,1997.0,4.0,1.0,,/minifigs/inset-2607-1,,,,,,,Normal,
2684-1,Dinghy,Pre-school,Duplo,,1997.0,3.0,1.0,,/minifigs/inset-2684-1,,,8.0,,,,Normal,Box
2687-1,Harbour,Pre-school,Duplo,,1997.0,47.0,3.0,/inventories/2687-1,/minifigs/inset-2687-1,52.0,,81.0,,,,Normal,
2761-1,Pony Stables,Pre-school,Duplo,,1997.0,41.0,2.0,/inventories/2761-1,/minifigs/inset-2761-1,20.0,,,,,,Normal,
2762-1,Family Fun Playground,Pre-school,Duplo,,1997.0,46.0,3.0,,/minifigs/inset-2762-1,27.0,,,,,,Normal,
2805-1,Pony Club,Pre-school,Duplo,,1997.0,13.0,2.0,/inventories/2805-1,/minifigs/inset-2805-1,,,,,,,Normal,
2806-1,Dino Mini Set,Pre-school,Duplo,,1997.0,4.0,1.0,/inventories/2806-1,/minifigs/inset-2806-1,3.0,15.0,,4.0,1.0,,Normal,
2840-1,Girl,Basic,Basic,,1997.0,10.0,0.0,/inventories/2840-1,,,57.0,,,,,Normal,Polybag
2841-1,Boy,Basic,Basic,,1997.0,9.0,0.0,/inventories/2841-1,,,57.0,,,,,Normal,Polybag
2842-1,Girl,Basic,Basic,,1997.0,8.0,0.0,,,,,1.0,,,,Normal,Polybag
2844-1,Doggy,Basic,Basic,,1997.0,8.0,0.0,/inventories/2844-1,,,,,,,,Normal,Polybag
2845-1,Indian Chief,Historical,Western,Indians,1997.0,20.0,1.0,/inventories/2845-1,/minifigs/inset-2845-1,,12.0,6.0,4.0,2.0,,Normal,Box
2846-1,Indian Kayak,Historical,Western,Indians,1997.0,18.0,1.0,/inventories/2846-1,/minifigs/inset-2846-1,,20.0,11.0,4.3,4.0,,Normal,Box
2847-1,Flyer,Action/Adventure,Space,UFO,1997.0,15.0,1.0,/inventories/2847-1,/minifigs/inset-2847-1,,13.0,4.0,3.7,7.0,,Normal,Box
2848-1,Flying Machine,Historical,Castle,Fright Knights,1997.0,19.0,1.0,/inventories/2848-1,/minifigs/inset-2848-1,,7.0,3.0,3.3,3.0,,Normal,Box
2849-1,Helicopter,Modern day,Town,Flight,1997.0,20.0,1.0,/inventories/2849-1,/minifigs/inset-2849-1,,5.0,2.0,3.0,3.0,,Normal,Box
2851-1,Medium Dino Bucket,Pre-school,Duplo,,1997.0,31.0,1.0,/inventories/2851-1,/minifigs/inset-2851-1,,,,,,,Normal,Bucket
2852-1,Large Dino Bucket,Pre-school,Duplo,,1997.0,57.0,2.0,/inventories/2852-1,/minifigs/inset-2852-1,,,,,,,Normal,Bucket
2870-1,Paradisa Barbeque,Modern day,Town,Paradisa,1997.0,19.0,1.0,/inventories/2870-1,/minifigs/inset-2870-1,,8.0,4.0,5.0,1.0,,Normal,Box
2871-1,Diver and Shark,Modern day,Town,Divers,1997.0,16.0,1.0,/inventories/2871-1,/minifigs/inset-2871-1,,12.0,10.0,3.8,6.0,,Normal,Box
2872-1,Witch and Fireplace,Historical,Castle,Fright Knights,1997.0,19.0,1.0,/inventories/2872-1,/minifigs/inset-2872-1,,11.0,4.0,4.1,7.0,,Normal,Box
2873-1,Christmas Set,Basic,Basic,Seasonal,1997.0,9.0,0.0,,,,6.0,,,,,Normal,Polybag
2874-1,Christmas Set,Basic,Basic,Seasonal,1997.0,9.0,0.0,,,,,,,,,Normal,Polybag
2875-1,Mouse,Basic,Basic,,1997.0,9.0,0.0,,,,,,3.0,1.0,,Normal,Polybag
2876-1,Christmas Set,Basic,Basic,Seasonal,1997.0,9.0,0.0,,,,,,,,,Normal,Polybag
2877-1,Snowman,Basic,Basic,,1997.0,9.0,0.0,,,,,,,,,Normal,Polybag
2878-1,Santa Claus,Basic,Basic,Seasonal,1997.0,16.0,0.0,/inventories/2878-1,,2.0,5.0,3.0,,,,Normal,Polybag
2880-1,Open-Top Jeep,Modern day,Town,Vehicles,1997.0,29.0,0.0,/inventories/2880-1,,,7.0,2.0,3.0,2.0,,Normal,Box
2881-1,Parking Gate Attendant,Modern day,Town,Vehicles,1997.0,19.0,1.0,/inventories/2881-1,/minifigs/inset-2881-1,,8.0,3.0,3.0,3.0,,Normal,Box
2882-1,Speedboat,Modern day,Town,Boats,1997.0,22.0,1.0,/inventories/2882-1,/minifigs/inset-2882-1,,7.0,5.0,,,,Normal,Box
2883-1,Boat,Modern day,Town,Boats,1997.0,28.0,0.0,/inventories/2883-1,,,8.0,3.0,2.0,2.0,,Normal,Box
2884-1,Microlight,Modern day,Town,Flight,1997.0,20.0,1.0,/inventories/2884-1,/minifigs/inset-2884-1,,8.0,2.0,2.5,2.0,,Normal,Box
2885-1,Ice Cream Seller,Modern day,Town,Shops and Services,1997.0,27.0,1.0,/inventories/2885-1,/minifigs/inset-2885-1,,8.0,5.0,3.0,2.0,,Normal,Box
2886-1,Formula 1 Racing Car,Modern day,Town,Racing,1997.0,25.0,0.0,/inventories/2886-1,,2.0,6.0,3.0,3.8,5.0,,Normal,Box
2887-1,Petrol Station Attendant and Pump,Modern day,Town,Shops and Services,1997.0,15.0,1.0,/inventories/2887-1,/minifigs/inset-2887-1,,11.0,2.0,2.5,2.0,,Normal,Box
3200-1,Beauty Studio,Girls,Scala,,1997.0,31.0,1.0,,/minifigs/inset-3200-1,16.5,53.0,37.0,,,,Normal,
3201-1,Living Room,Girls,Scala,,1997.0,31.0,1.0,/inventories/3201-1,/minifigs/inset-3201-1,,26.0,44.0,,,,Normal,
3202-1,Laundry Room,Girls,Scala,,1997.0,42.0,1.0,/inventories/3202-1,/minifigs/inset-3202-1,,42.0,33.0,,,,Normal,
3203-1,Dressing Table,Girls,Scala,,1997.0,18.0,1.0,,/minifigs/inset-3203-1,,19.0,10.0,,,,Normal,
3240-1,Ashley's Miniature Garden,Girls,Scala,,1997.0,54.0,1.0,/inventories/3240-1,/minifigs/inset-3240-1,,42.0,28.0,,,,Normal,
3241-1,Nursery,Girls,Scala,,1997.0,54.0,2.0,/inventories/3241-1,/minifigs/inset-3241-1,22.0,46.0,,,,,Normal,
3242-1,Bathroom,Girls,Scala,,1997.0,76.0,1.0,/inventories/3242-1,/minifigs/inset-3242-1,,56.0,80.0,,,,Normal,
3243-1,Kitchen,Girls,Scala,,1997.0,92.0,2.0,/inventories/3243-1,/minifigs/inset-3243-1,26.5,55.0,,,,,Normal,
3270-1,Dream Cottage,Girls,Scala,,1997.0,120.0,1.0,/inventories/3270-1,/minifigs/inset-3270-1,76.0,132.0,167.0,,,,Normal,
3290-1,The Big Family House,Girls,Scala,,1997.0,265.0,3.0,/inventories/3290-1,/minifigs/inset-3290-1,,,212.0,,,,Normal,
4055-1,Value Bucket Medium,Basic,Freestyle,,1997.0,322.0,0.0,,,10.0,,,5.0,1.0,,Normal,
4128-1,XL Value Bucket,Basic,Freestyle,,1997.0,650.0,0.0,,,,,,4.0,1.0,,Normal,
4129-1,Trial Size Bag,Basic,Freestyle,,1997.0,27.0,0.0,,,1.5,,,,,,Normal,
4137-1,"Freestyle Clearpack (S), 3+",Basic,Freestyle,,1997.0,131.0,0.0,/inventories/4137-1,,15.0,,,5.0,1.0,,Normal,
4138-1,Value Set with Carry Bag,Basic,Freestyle,,1997.0,400.0,0.0,,,20.0,,,,,,Normal,
4139-1,"Freestyle Bucket, 3+",Basic,Freestyle,,1997.0,249.0,0.0,/inventories/4139-1,,23.0,,,,,,Normal,Bucket
4148-1,Large Clearpack,Basic,Freestyle,,1997.0,220.0,0.0,,,20.0,,,,,,Normal,
4157-1,Trial Size Bag 5+,Basic,Freestyle,,1997.0,34.0,0.0,,,1.5,10.0,,,,,Normal,
4158-1,Building Set 5+,Basic,Freestyle,,1997.0,128.0,1.0,,/minifigs/inset-4158-1,6.0,,16.0,,,,Normal,
4168-1,Funimal,Basic,Freestyle,,1997.0,,0.0,,,,,,,,,Normal,
4169-1,"Freestyle Gift Item, 3+",Basic,Freestyle,,1997.0,,0.0,,,,,,,,,Normal,
5024-1,"Duplo Start / Stop Rail, Single Rail, Change of Direction Switch",Miscellaneous,Service Packs,Duplo,1997.0,4.0,0.0,,,,10.0,,,,,Normal,Polybag
5026-1,"Toolo Loader, Hook and Turntable",Miscellaneous,Service Packs,Toolo,1997.0,3.0,0.0,,,5.5,,,,,,Normal,Polybag
5201-1,Angle Bricks Assorted,Miscellaneous,Service Packs,Technic,1997.0,20.0,0.0,/inventories/5201-1,,4.0,7.0,,,,,Normal,Polybag
5202-1,"Angle Beams, Red and Blue",Miscellaneous,Service Packs,Technic,1997.0,8.0,0.0,/inventories/5202-1,,4.0,2.0,,,,,Normal,Polybag
5227-1,Fibre Optic Cables,Miscellaneous,Service Packs,,1997.0,8.0,0.0,,,3.0,11.0,,,,,Normal,Polybag
5228-1,"Technic Beams and Plates with Holes, Black",Miscellaneous,Service Packs,Technic,1997.0,26.0,0.0,/inventories/5228-1,,4.5,3.0,,,,,Normal,Polybag
5229-1,Technic Gear Wheels and Differential Housing,Miscellaneous,Service Packs,Technic,1997.0,23.0,0.0,/inventories/5229-1,,4.0,13.0,,,,,Normal,Polybag
5391-1,Battery Box 9V For Electric System,Miscellaneous,Service Packs,,1997.0,1.0,0.0,,,5.0,9.0,6.0,,,,Normal,Polybag
5392-1,Western Accessories,Miscellaneous,Service Packs,Western,1997.0,34.0,0.0,/inventories/5392-1,,5.0,25.0,,5.0,1.0,,Normal,Polybag
5393-1,Headgear (Hats and Hair),Miscellaneous,Service Packs,,1997.0,31.0,0.0,,,3.0,12.0,,,,,Normal,Polybag
5394-1,3 Horses and Saddles,Miscellaneous,Service Packs,,1997.0,12.0,0.0,/inventories/5394-1,,4.5,17.0,,,,,Normal,Polybag
5561-1,Big Foot 4 x 4,Model making,Model Team,,1997.0,761.0,0.0,/inventories/5561-1,,88.0,190.0,146.0,5.0,1.0,,Normal,Box
5731-1,LEGO Island,Miscellaneous,Gear,Video Games/PC,1997.0,,0.0,,,,,,4.8,24.0,,Gear,
5821-1,Pamela's Picnic Time,Girls,Belville,,1997.0,9.0,1.0,/inventories/5821-1,/minifigs/inset-5821-1,,10.0,,,,,Normal,
5822-1,Jennifer and Foal,Girls,Belville,,1997.0,5.0,1.0,,/minifigs/inset-5822-1,,15.0,11.0,,,,Normal,
5853-1,Lucinda and Cressida,Girls,Belville,,1997.0,5.0,1.0,,/minifigs/inset-5853-1,,17.0,11.0,,,,Normal,
5854-1,Pony Trekking,Girls,Belville,,1997.0,47.0,2.0,/inventories/5854-1,/minifigs/inset-5854-1,,,35.0,5.0,1.0,,Normal,
5855-1,Riding Stables,Girls,Belville,,1997.0,148.0,3.0,/inventories/5855-1,/minifigs/inset-5855-1,,,76.0,,,,Normal,
5874-1,Nursery,Girls,Belville,,1997.0,62.0,3.0,/inventories/5874-1,/minifigs/inset-5874-1,,68.0,53.0,,,,Normal,
6004-1,Crossbow Cart,Historical,Castle,Fright Knights,1997.0,20.0,1.0,/inventories/6004-1,/minifigs/inset-6004-1,,21.0,12.0,3.3,4.0,,Normal,Box
6006-1,Crossbow Cart,Historical,Castle,Fright Knights,1997.0,20.0,0.0,,,,,,,,,Normal,Polybag
6007-1,Bat Lord,Historical,Castle,Fright Knights,1997.0,12.0,1.0,/inventories/6007-1,/minifigs/inset-6007-1,4.5,42.0,12.0,4.1,14.0,,Normal,Box
6027-1,Bat Lord's Catapult,Historical,Castle,Fright Knights,1997.0,55.0,2.0,/inventories/6027-1,/minifigs/inset-6027-1,6.75,35.0,11.0,4.0,6.0,,Normal,Box
6037-1,Witch's Windship,Historical,Castle,Fright Knights,1997.0,56.0,1.0,/inventories/6037-1,/minifigs/inset-6037-1,8.0,43.0,16.0,3.2,5.0,,Normal,Box
6047-1,Traitor Transport,Historical,Castle,Fright Knights,1997.0,139.0,3.0,/inventories/6047-1,/minifigs/inset-6047-1,,175.0,35.0,4.4,5.0,,Normal,Box
6087-1,Witch's Magic Manor,Historical,Castle,Fright Knights,1997.0,250.0,6.0,/inventories/6087-1,/minifigs/inset-6087-1,44.0,139.0,58.0,3.1,9.0,,Normal,Box
6097-1,Night Lord's Castle,Historical,Castle,Fright Knights,1997.0,601.0,8.0,/inventories/6097-1,/minifigs/inset-6097-1,80.0,238.0,104.0,4.8,14.0,,Normal,Box
6099-1,Traitor Transport,Historical,Castle,Fright Knights,1997.0,140.0,3.0,,/minifigs/inset-6099-1,20.0,118.0,80.0,4.7,3.0,,Normal,Box
6204-1,Buccaneers,Historical,Pirates,Accessories,1997.0,36.0,5.0,,/minifigs/inset-6204-1,6.0,121.0,39.0,4.5,2.0,,Normal,Box
6249-1,Pirates Ambush,Historical,Pirates,,1997.0,156.0,3.0,,/minifigs/inset-6249-1,22.0,180.0,88.0,4.3,4.0,,Normal,Box
6250-1,Cross Bone Clipper,Historical,Pirates,,1997.0,154.0,3.0,,/minifigs/inset-6250-1,33.0,200.0,209.0,3.5,4.0,,Normal,Box
6281-1,Pirates Perilous Pitfall,Historical,Pirates,,1997.0,395.0,6.0,,/minifigs/inset-6281-1,73.0,381.0,225.0,4.5,4.0,,Normal,Box
6320-1,"Road Plates, Junction",Modern day,Town,Accessories,1997.0,2.0,0.0,,,6.0,40.0,14.0,5.0,2.0,,Normal,Shrink-wrapped
6321-1,"Road Plates, Curved",Modern day,Town,Accessories,1997.0,2.0,0.0,,,6.0,30.0,20.0,5.0,1.0,,Normal,Shrink-wrapped
6322-1,"Road Plates, Straight",Modern day,Town,Accessories,1997.0,2.0,0.0,,,6.0,38.0,13.0,4.7,3.0,,Normal,Shrink-wrapped
6323-1,"Road Plates, Cross",Modern day,Town,Accessories,1997.0,2.0,0.0,,,6.99,22.0,7.0,4.0,3.0,,Normal,Shrink-wrapped
6400-1,Go-Kart,Modern day,Town,Racing,1997.0,23.0,1.0,/inventories/6400-1,/minifigs/inset-6400-1,,8.0,2.0,4.0,4.0,,Normal,Box
6406-1,Go-Kart,Modern day,Town,Racing,1997.0,23.0,1.0,,/minifigs/inset-6406-1,2.0,9.0,2.0,3.0,2.0,,Normal,Polybag
6407-1,Fire Chief,Modern day,Town,Fire,1997.0,26.0,1.0,/inventories/6407-1,/minifigs/inset-6407-1,5.5,8.0,3.0,2.5,4.0,,Normal,Box
6417-1,Show Jumping Event,Modern day,Town,Paradisa,1997.0,36.0,1.0,/inventories/6417-1,/minifigs/inset-6417-1,4.0,25.0,10.0,3.0,2.0,,Normal,Box
6441-1,Deep Sea Refuge,Modern day,Town,Divers,1997.0,449.0,5.0,/inventories/6441-1,/minifigs/inset-6441-1,60.0,173.0,74.0,5.0,10.0,,Normal,Box
6442-1,Sting Ray Explorer,Modern day,Town,Divers,1997.0,152.0,3.0,/inventories/6442-1,/minifigs/inset-6442-1,20.0,91.0,24.0,4.8,5.0,,Normal,Box
6444-1,Outback Airstrip,Modern day,Town,Outback,1997.0,167.0,3.0,,/minifigs/inset-6444-1,20.0,53.0,24.0,5.0,3.0,,Normal,Box
6486-1,Fire Engine,Modern day,Town,Fire,1997.0,66.0,1.0,/inventories/6486-1,/minifigs/inset-6486-1,10.0,24.0,7.0,3.5,2.0,,Normal,Box
6487-1,Mountain Rescue,Modern day,Town,Outback,1997.0,68.0,1.0,/inventories/6487-1,/minifigs/inset-6487-1,6.0,20.0,9.0,4.0,2.0,,Normal,Box
6489-1,Seaside Holiday Cottage,Modern day,Town,Paradisa,1997.0,86.0,2.0,,/minifigs/inset-6489-1,13.25,177.0,41.0,4.0,1.0,,Normal,Box
6490-1,Amazon Crossing,Modern day,Town,Outback,1997.0,116.0,1.0,,/minifigs/inset-6490-1,15.0,82.0,17.0,4.6,8.0,,Normal,Box
6495-1,Time Tunnelator,Action/Adventure,Time Cruisers,Time Twisters,1997.0,81.0,1.0,/inventories/6495-1,/minifigs/inset-6495-1,10.0,17.0,9.0,4.0,2.0,,Normal,Box
6496-1,Whirling Time Warper,Action/Adventure,Time Cruisers,Time Twisters,1997.0,152.0,2.0,/inventories/6496-1,/minifigs/inset-6496-1,22.0,67.0,22.0,4.3,4.0,,Normal,Box
6497-1,Twisted Time Train,Action/Adventure,Time Cruisers,Time Twisters,1997.0,300.0,4.0,/inventories/6497-1,/minifigs/inset-6497-1,38.5,98.0,39.0,5.0,4.0,,Normal,Box
6499-1,Time Tunnelator,Action/Adventure,Time Cruisers,Time Twisters,1997.0,81.0,1.0,,/minifigs/inset-6499-1,10.0,18.0,13.0,4.4,5.0,,Normal,Box
6547-1,Fun Fair,Modern day,Town,Paradisa,1997.0,193.0,5.0,,/minifigs/inset-6547-1,27.5,256.0,73.0,4.5,2.0,,Normal,Box
6548-1,Octan Gas Station,Modern day,Town,City,1997.0,125.0,3.0,/inventories/6548-1,/minifigs/inset-6548-1,24.0,62.0,25.0,1.5,4.0,,Normal,Box
6549-1,Roadblock Runners,Modern day,Town,Vehicles,1997.0,183.0,4.0,,/minifigs/inset-6549-1,30.0,67.0,33.0,4.5,4.0,,Normal,Box
6550-1,Outback Racer,Modern day,Town,Outback,1997.0,49.0,1.0,/inventories/6550-1,/minifigs/inset-6550-1,4.0,20.0,5.0,3.8,6.0,,Normal,Box
6553-1,Crisis News Crew,Modern day,Town,Outback,1997.0,136.0,3.0,,/minifigs/inset-6553-1,12.0,65.0,22.0,4.2,5.0,,Normal,Box
6554-1,Blaze Brigade,Modern day,Town,Fire,1997.0,255.0,4.0,/inventories/6554-1,/minifigs/inset-6554-1,44.0,370.0,27.0,2.4,7.0,,Normal,Box
6555-1,Sea Hunter,Modern day,Town,Divers,1997.0,30.0,1.0,/inventories/6555-1,/minifigs/inset-6555-1,4.5,20.0,8.0,4.1,7.0,,Normal,Box
6556-1,Scuba Squad,Modern day,Town,Divers,1997.0,77.0,2.0,/inventories/6556-1,/minifigs/inset-6556-1,8.75,28.0,8.0,4.7,7.0,,Normal,Box
6557-1,Treasure Hunters,Modern day,Town,Divers,1997.0,150.0,3.0,,/minifigs/inset-6557-1,22.0,43.0,158.0,5.0,1.0,,Normal,Box
6558-1,Shark Cage Cove,Modern day,Town,Divers,1997.0,187.0,3.0,/inventories/6558-1,/minifigs/inset-6558-1,30.0,95.0,34.0,4.7,3.0,,Normal,Box
6559-1,Deep Sea Bounty,Modern day,Town,Divers,1997.0,348.0,5.0,/inventories/6559-1,/minifigs/inset-6559-1,44.0,161.0,51.0,4.5,4.0,,Normal,Box
6560-1,Diving Expedition Explorer,Modern day,Town,Divers,1997.0,471.0,7.0,/inventories/6560-1,/minifigs/inset-6560-1,79.0,220.0,96.0,5.0,1.0,,Normal,Box
6564-1,Recycle Truck,Modern day,Town,Maintenance,1997.0,35.0,1.0,/inventories/6564-1,/minifigs/inset-6564-1,7.25,8.0,4.0,2.3,9.0,,Normal,Box
6565-1,Construction Crew,Modern day,Town,Construction,1997.0,78.0,3.0,/inventories/6565-1,/minifigs/inset-6565-1,16.5,22.0,12.0,3.8,5.0,,Normal,Box
6566-1,Bank,Modern day,Town,City,1997.0,99.0,2.0,/inventories/6566-1,/minifigs/inset-6566-1,15.0,50.0,16.0,3.3,13.0,,Normal,Box
6599-1,Shark Attack,Modern day,Town,Divers,1997.0,58.0,2.0,,/minifigs/inset-6599-1,10.0,45.0,12.0,4.7,3.0,,Normal,Box
6706-1,Frontier Patrol,Historical,Western,Cowboys,1997.0,30.0,3.0,/inventories/6706-1,/minifigs/inset-6706-1,6.0,42.0,24.0,4.6,11.0,,Normal,Box
6709-1,Tribal Chief,Historical,Western,Indians,1997.0,16.0,1.0,/inventories/6709-1,/minifigs/inset-6709-1,4.0,20.0,9.0,3.8,6.0,,Normal,Box
6718-1,Raindance Ridge,Historical,Western,Indians,1997.0,74.0,2.0,/inventories/6718-1,/minifigs/inset-6718-1,8.0,39.0,20.0,3.8,6.0,,Normal,Box
6746-1,Chief's Tepee,Historical,Western,Indians,1997.0,134.0,3.0,/inventories/6746-1,/minifigs/inset-6746-1,20.0,150.0,48.0,4.1,8.0,,Normal,Box
6748-1,Boulder Cliff Canyon,Historical,Western,Indians,1997.0,256.0,6.0,/inventories/6748-1,/minifigs/inset-6748-1,40.0,250.0,95.0,4.0,1.0,,Normal,Box
6766-1,Rapid River Village,Historical,Western,Indians,1997.0,353.0,7.0,/inventories/6766-1,/minifigs/inset-6766-1,60.0,365.0,122.0,5.0,8.0,,Normal,Box
6790-1,Bandit with Gun,Historical,Western,Cowboys,1997.0,21.0,1.0,/inventories/6790-1,/minifigs/inset-6790-1,2.0,15.0,6.0,4.2,5.0,,Normal,Box
6791-1,Bandit's Wheelgun,Historical,Western,Cowboys,1997.0,21.0,1.0,,/minifigs/inset-6791-1,2.0,21.0,9.0,4.3,3.0,,Normal,Polybag
6799-1,Showdown Canyon,Historical,Western,Cowboys,1997.0,75.0,4.0,/inventories/6799-1,/minifigs/inset-6799-1,10.0,46.0,30.0,4.7,3.0,,Normal,Box
6800-1,Cyber Blaster,Action/Adventure,Space,UFO,1997.0,20.0,1.0,/inventories/6800-1,/minifigs/inset-6800-1,,8.0,3.0,3.4,5.0,,Normal,Box
6816-1,Cyber Blaster,Action/Adventure,Space,UFO,1997.0,20.0,1.0,,/minifigs/inset-6816-1,2.0,6.0,5.0,4.0,1.0,,Normal,Polybag
6818-1,Cyborg Scout,Action/Adventure,Space,UFO,1997.0,36.0,1.0,/inventories/6818-1,/minifigs/inset-6818-1,3.0,10.0,5.0,4.3,11.0,,Normal,Box
6829-1,Radon Rover,Action/Adventure,Space,UFO,1997.0,53.0,1.0,/inventories/6829-1,/minifigs/inset-6829-1,6.0,25.0,7.0,3.3,4.0,,Normal,Box
6836-1,V-Wing Fighter,Action/Adventure,Space,UFO,1997.0,40.0,1.0,/inventories/6836-1,/minifigs/inset-6836-1,4.0,40.0,7.0,4.9,7.0,,Normal,Box
6900-1,Cyber Saucer,Action/Adventure,Space,UFO,1997.0,114.0,1.0,/inventories/6900-1,/minifigs/inset-6900-1,22.0,171.0,28.0,4.5,8.0,,Normal,Box
6915-1,Warp Wing Fighter,Action/Adventure,Space,UFO,1997.0,236.0,2.0,/inventories/6915-1,/minifigs/inset-6915-1,30.0,200.0,36.0,4.8,12.0,,Normal,Box
6975-1,Alien Avenger,Action/Adventure,Space,UFO,1997.0,369.0,4.0,/inventories/6975-1,/minifigs/inset-6975-1,60.0,182.0,50.0,4.7,18.0,,Normal,Box
6979-1,Interstellar Starfighter,Action/Adventure,Space,UFO,1997.0,292.0,3.0,/inventories/6979-1,/minifigs/inset-6979-1,80.0,161.0,84.0,4.3,10.0,,Normal,Box
